10007cfcfe7e66066606fe1e7cfe38fe7c66fe667c667c663e67396310630000,新
803ffc3ffc0f80038003fc3ffc3f80038003ffffffff800380018001f001f801,手
003f0c7f06733e731ef71ce70cc73cc73eef067f80798079c079e9f9c9cf0006,級
fc7ffcff1ce01ce0fc7ffc7f1c601c603c70fc7f1c700ce00ee00ff0077c037c,月
100cfc7fffff00c000607e60fe6cfe6cfe6cc66cc26cee6cee64e260e2700200,前
8001c621ce71dc79c831c003fe3ffe3fc003c003ffffffffc003c001c0018001,半
f00ffc3f3e7c1e7800700078007c003e001f800fe007f003f801fe01fffffeff,2
f81ffe7f1ff807f000f8007c807fc03f007f00f800f007f01ff83f7efe3ff00f,3
fffffffffeff007e003e003e001f800f800fc007e003e003f001f800f8007800,7
f00ff83f3c781e700ff00ff00fe00fe00ff00ff00ff01ff03e78fc7ef83fe00f,0
c03ff87fff7fff7f007f007f007f007f007f007f007f007f00ff00ff00fe007e,1
fe3ffe3f0f0007000700ff07ff3f3f7c07f800f000f000f00ff8fe7ffc3ff00f,5
c0fff8ffffffdcff00fe00fc00fc00fc00fc00fc00fc00fe00ff00ff00ff00fe,1
000c000e800fc00fc00ff00ff00f380e3e1e3f1fff7ffffffe7f003e001e001e,4
f003fc07ff07ff07e007c007c007c007c007c007c007c007c007c007c0078007,1
00000000000000000000000000000000000000000000001e807f80ff80ff00ff,","
f81ffc3f3e381ff00fe00fe007e007e007e007e007e007e007f00e78fe7ffc3f,0
f01ffc3f1c781e200f000f00ff1fff3f1f780ff007e007e00ee01cf0fc7ff81f,6
f01ffc3f1e780ff00fe00fe00fe01ff0fcfff8ff00e000e006f01e78fc7ff81f,9
8001c003c003c003c003e003e003e003f007f007780f381e3c3e1ffc0ff007e0,人
e007f00f300c301c181898199831cc33cc330c600660c667e6cf77cc3ffc1e78,A
e00f783c0c608663c67f623c637f23e323c163c7e6cfc6c70ce01c70f03fe00f,G
fe7f07f003e0c3ffe33fe301c33f037f0370c33fe31fe300e300f700ff007e00,F
fe7f07e003e0c1ffe37fc33f03700370837fe31fe300c37f03e003e0fffffc7f,E
fe7fffe707c087ffc73fc701873f07700770c73fc703c700c700e700ff007e00,F
80018003c003c003c003fc3ffffffffffffffffffc3fc003c003c003c0038001,+
00fec0fff0fffefffeff80ff00fe00fe00fe00fe00fe00fe00fe00fe00ff00fe,1
c001c003e003e003e007f81ffefffffffffffe7ff80fe003e003e003c003c001,+
c003c003c003c003e007f00ffffffffffffffffff00fe007c003c003c0038003,+
fc1ffe3f7e001e001e00fe03fe1ffe3f1c7800f000f000f83e78fe7ffc3ff80f,5
f01ffc3f7c7e08780078007ee03fe01fc03f007c00f800f81ffcfffffe7ff81f,3
f007f81f7c3f1e3c1e7c1e780e780ff80ff80e781e781e7c3e7cfc3ff81ff007,0
001f801fc01fe01fe01ff01f781e3c1e3e1eff3ffffffffffe7f001e001c0000,4
f00ffc3f7e7e1efc04fc007c007e803fe00ff803fc003e007f00ffffffffff7f,2
f01ffc3f7c7e08fc00fc007ee03fe01fc07f00fc00f800f81ffc7f7ffe3ff81f,3
f00ffc3f7e7e1efc04f800fc007e803fe00ff803fc003e007e00ffffffffff7f,2
3c087e087f0c770c670677067e03bc038039c0fdc0fee0ee60ce60fe30fc307c,%
f01ffc7ffeff3ef80cf800f800fc003fc01ff00ff8017c003e00ff1fffffffff,2
fc1ffe7f1ff80ff007e007e007e007e007e007e007e007f00ff8fe7ffc3fe007,0
e01ff87f7c783c001e001e00fe3fff7f3ff81ff01ee01ef03cf8fc7ff83fe01f,6
e01ff83f7c381e000f001f00ff1fff3f3f781ff00ff01ff03ef8fc7ff83fe00f,6
3c087e0c7f0c670e77067f077e03bc03803dc0ffc0ee60ce60ee30fe307c0038,%
10003c7cfe3efe0e66067e0e7f7e387e7e267e227c22fc23fe23932310231020,新
fc3ffe03fc018001fc3ffe3ffc3f8003ff7fffffff7f80018001e001f001f001,手
803f8c3726333e331e731c630c472c67fe67833d0139e739ed7df9ffe1e70002,級
f87ff8fffcff1cc0fcfffcfffcff1cc03cf0fcfffcff1cc00ec007f807fc007c,月
100c380efe7f00003c00ff00ff66e766ff66ff66e766ff66e764c778e778f338,前
